customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
78,Tanmayi Zacharia,hemanisharma@example.com,1472198650,"Bandi Road, Tambaram, Chennai, Tamil Nadu, India - 241193",25-10-2024,0,Continental,62,3.78
79,Aayush Bhalla,auroraamol@example.net,02555233077,"Jaggi Street, Perungudi, Chennai, Tamil Nadu, India - 796381",24-09-2024,1,Continental,27,4.37
80,Om Apte,balazayyan@example.com,6908762062,"Purohit Path, Kodambakkam, Chennai, Tamil Nadu, India - 505820",22-08-2020,0,Italian,47,4.96
81,Ishita Sami,lohit90@example.net,6332006697,"Batra Ganj, Kodambakkam, Chennai, Tamil Nadu, India - 688072",21-09-2023,0,Chinese,19,0.6
82,Xiti Chaudhuri,abhiram43@example.com,+915943399789,"Das Marg, Perungudi, Chennai, Tamil Nadu, India - 560105",13-06-2023,0,North Indian,81,4.41
83,Meghana Wali,cheriankaran@example.org,09870512804,"Choudhry Circle, Nungambakkam, Chennai, Tamil Nadu, India - 172105",15-08-2021,0,North Indian,81,1.57
84,Ayaan Goda,singhalgaurav@example.org,7032513840,"Bhargava Nagar, Kilpauk, Chennai, Tamil Nadu, India - 012602",26-03-2022,0,South Indian,69,0.73
85,Upkaar Sheth,nandaabhimanyu@example.net,07761116815,"Lanka Zila, Chrompet, Chennai, Tamil Nadu, India - 586695",07-01-2023,1,Continental,26,4.59
86,Varenya Sankar,tripti14@example.org,03301031630,"Chacko Street, Tambaram, Chennai, Tamil Nadu, India - 608792",05-12-2023,1,Chinese,35,4.33
87,Elijah Mukhopadhyay,yashicamanne@example.org,02371993469,"Rau, Perungudi, Chennai, Tamil Nadu, India - 940207",30-11-2022,1,Italian,37,1.02
88,Omisha Srinivasan,oscardhar@example.com,06456188871,"Sodhi Path, Mylapore, Chennai, Tamil Nadu, India - 487409",08-08-2023,1,Continental,68,2.02
89,Ryan Peri,schander@example.com,00293939776,"Bhavsar, Anna Nagar, Chennai, Tamil Nadu, India - 959787",03-05-2024,0,North Indian,31,1.81
90,Aryan Sehgal,ria76@example.com,07832016336,"Ratti Road, Kilpauk, Chennai, Tamil Nadu, India - 003207",16-01-2021,0,North Indian,83,0.5
91,Baghyawati Vohra,rakshadada@example.com,05186817487,"Dhar Street, Nungambakkam, Chennai, Tamil Nadu, India - 201080",21-09-2024,1,North Indian,4,2.1
92,Anjali Dara,ladvarsha@example.org,+918595892613,"Sastry Marg, Anna Nagar, Chennai, Tamil Nadu, India - 492934",04-02-2023,0,South Indian,19,2.79
93,Widisha Vohra,mahaldayamai@example.org,+917201210746,"Kaur Nagar, Adyar, Chennai, Tamil Nadu, India - 483214",04-01-2025,0,Continental,25,0.71
94,Nilima Patil,owable@example.net,4230671418,"Contractor Circle, Guindy, Chennai, Tamil Nadu, India - 674414",15-06-2021,1,South Indian,34,4.15
95,Geetika Khanna,veer82@example.org,08466839629,"Dua Street, Guindy, Chennai, Tamil Nadu, India - 633052",09-09-2021,1,North Indian,1,2.37
96,Garima Tella,nicholasoommen@example.net,+914133543929,"Cherian Street, Mylapore, Chennai, Tamil Nadu, India - 917826",25-10-2022,1,Chinese,3,1.86
97,Ishaan Chaudry,rameshrajata@example.org,03692812633,"Mutti Zila, Chrompet, Chennai, Tamil Nadu, India - 023511",21-12-2021,1,South Indian,1,2.05
98,Eshana Chander,opandit@example.com,8802580687,"Batra Nagar, Kodambakkam, Chennai, Tamil Nadu, India - 868618",15-06-2023,1,South Indian,39,3.52
99,Dalbir Magar,wasonazad@example.org,05403966399,"Varkey Street, Perungudi, Chennai, Tamil Nadu, India - 677012",03-11-2020,1,South Indian,57,0.66
100,Nakul Agarwal,uvenkataraman@example.com,06430955946,"Dhawan Marg, Kodambakkam, Chennai, Tamil Nadu, India - 552274",03-04-2023,0,Continental,80,2.35
101,Atharv Varughese,bhattacharyyaanusha@example.org,1914498431,"Pandit Chowk, T. Nagar, Chennai, Tamil Nadu, India - 989681",25-05-2020,0,Chinese,25,2.3
102,Yash Varkey,ranbirmajumdar@example.org,4098051093,"Sant Ganj, Mylapore, Chennai, Tamil Nadu, India - 458905",13-08-2021,1,South Indian,47,4.92
103,Viraj Sampath,isama@example.net,01680550155,"Parsa Zila, Guindy, Chennai, Tamil Nadu, India - 450243",21-02-2022,1,Continental,86,3.92
104,Qadim Vasa,panchallavanya@example.com,04786310473,"Sur Zila, Nungambakkam, Chennai, Tamil Nadu, India - 881009",29-01-2022,0,Italian,29,4.69
105,Reyansh Oommen,bhagatshaurya@example.net,09838596781,"Narayan Marg, Nungambakkam, Chennai, Tamil Nadu, India - 393682",21-01-2023,1,North Indian,31,4.3
106,Tripti Gara,zcontractor@example.com,5567685851,"Garg Chowk, Nungambakkam, Chennai, Tamil Nadu, India - 483015",03-05-2021,1,South Indian,62,1.81
107,Ekiya Devan,magaranamika@example.org,07213113583,"Verma Marg, Kilpauk, Chennai, Tamil Nadu, India - 325741",06-02-2024,0,South Indian,35,2.58
108,Ojas Kannan,hbava@example.com,01926798789,"Bora Zila, Kodambakkam, Chennai, Tamil Nadu, India - 149704",25-08-2021,1,Italian,73,2.1
109,Advik Sridhar,devangarima@example.net,7164577965,"Kumer Chowk, Guindy, Chennai, Tamil Nadu, India - 229829",05-01-2024,1,South Indian,23,2.31
110,Christopher Morar,jnarasimhan@example.net,5160973780,"Bhasin Marg, Kodambakkam, Chennai, Tamil Nadu, India - 047648",04-11-2021,0,Chinese,89,0.73
111,Ekaraj Krish,xsampath@example.com,+918308730768,"Kamdar Path, Mylapore, Chennai, Tamil Nadu, India - 141145",11-07-2025,0,Continental,3,1.3
112,Yashawini Mall,ayushmanprabhu@example.org,8175943774,"Raja Road, Adyar, Chennai, Tamil Nadu, India - 949350",19-09-2021,1,Continental,47,1.72
113,Nisha Ganguly,hbora@example.org,6768268113,"Singh Road, Chrompet, Chennai, Tamil Nadu, India - 033213",07-04-2023,1,South Indian,0,4.67
114,Hredhaan Vyas,kashyapsara@example.com,04471732565,"Chaudhry Chowk, Kilpauk, Chennai, Tamil Nadu, India - 619940",26-01-2023,0,Continental,11,0.21
115,Eesha Thaman,ypatel@example.org,+910187173261,"Sharma Chowk, T. Nagar, Chennai, Tamil Nadu, India - 685557",17-01-2020,0,South Indian,99,1.63
116,Chandresh Samra,deviyochana@example.org,2723055042,"Thakur Chowk, Velachery, Chennai, Tamil Nadu, India - 933759",26-04-2020,1,Continental,18,2.41
117,Yasti Barman,wgala@example.net,+917152871496,"Salvi Nagar, Guindy, Chennai, Tamil Nadu, India - 486306",25-04-2025,1,South Indian,25,4.43
118,Xavier Natt,xganguly@example.org,+917436086082,"Kapadia, Nungambakkam, Chennai, Tamil Nadu, India - 115941",30-08-2023,1,Chinese,44,2.55
119,Ethan D’Alia,amangal@example.com,+917404251726,"Datta Path, T. Nagar, Chennai, Tamil Nadu, India - 719576",06-05-2022,1,North Indian,71,0.55
120,Ati Vohra,januja82@example.net,+912782384972,"Chad Street, Chrompet, Chennai, Tamil Nadu, India - 342183",18-06-2024,0,Italian,23,4.96
121,Atharv Upadhyay,jshetty@example.org,+913344740564,"Chada Marg, T. Nagar, Chennai, Tamil Nadu, India - 196037",27-04-2021,0,Continental,33,0.45
122,Damini Mann,ebassi@example.com,+917155486646,"Kalla Ganj, Perungudi, Chennai, Tamil Nadu, India - 881245",27-01-2025,0,Italian,81,1.49
123,Isaiah Lad,praj@example.org,0697640810,"Mistry Circle, Perungudi, Chennai, Tamil Nadu, India - 801435",12-07-2020,1,North Indian,14,2.51
124,Anirudh Mand,shivansh46@example.com,+914689168937,"Cheema Path, Nungambakkam, Chennai, Tamil Nadu, India - 974862",21-12-2021,0,North Indian,78,3.09
125,Anthony Borah,gyadav@example.org,+914160412765,"Dutta Street, Velachery, Chennai, Tamil Nadu, India - 238893",06-08-2022,1,South Indian,100,2.24
126,Oviya Madan,edhingra@example.org,+916773880895,"Muni Marg, Nungambakkam, Chennai, Tamil Nadu, India - 471522",22-04-2025,0,Chinese,50,0.65
127,Victor Mitra,majumdargautam@example.com,08465664092,"Kala Ganj, Perungudi, Chennai, Tamil Nadu, India - 856245",04-02-2025,0,South Indian,78,2.29
128,Orinder Chakrabarti,patrickrattan@example.net,0305185870,"Grover Street, Adyar, Chennai, Tamil Nadu, India - 157693",08-02-2021,1,Italian,2,1.39
129,Bhavika Bobal,krish37@example.net,+917948257285,"Chaudry Circle, Tambaram, Chennai, Tamil Nadu, India - 893231",16-08-2023,0,Chinese,55,2.6
130,Parth Kurian,jatinkaur@example.net,+916853234541,"Andra Path, Adyar, Chennai, Tamil Nadu, India - 791786",06-04-2025,1,North Indian,10,3.45
131,Henry Kala,tchokshi@example.net,2595404914,"Bhatnagar Zila, Guindy, Chennai, Tamil Nadu, India - 515236",28-05-2025,1,Chinese,78,2.13
132,Krish Bhandari,ayushmangoda@example.org,07763031778,"Warrior Nagar, Mylapore, Chennai, Tamil Nadu, India - 996910",18-12-2024,0,Continental,17,0.1
133,Lohit Pradhan,dasyagnesh@example.net,09235504606,"Sankaran Zila, Tambaram, Chennai, Tamil Nadu, India - 799179",03-06-2024,1,North Indian,19,4.01
134,Aarush Toor,nitaravig@example.org,07317223770,"Bava Circle, Anna Nagar, Chennai, Tamil Nadu, India - 472707",10-05-2023,1,Italian,50,0.9
135,Jagrati Thakur,chaudharigeetika@example.com,+914342309273,"Gokhale Zila, Perungudi, Chennai, Tamil Nadu, India - 440234",06-08-2023,1,North Indian,72,4.72
136,Ekani Pillai,robert07@example.org,5571902054,"Kanda Street, T. Nagar, Chennai, Tamil Nadu, India - 369495",15-12-2020,1,Italian,20,0.26
137,Chaaya Bhatti,agastyachandra@example.com,+916211068190,"Sen Path, Chrompet, Chennai, Tamil Nadu, India - 049362",06-07-2025,0,South Indian,27,1.23
138,Jackson Goel,vgulati@example.com,09846642244,"Narayan Chowk, Chrompet, Chennai, Tamil Nadu, India - 528857",20-03-2023,1,Continental,61,3.23
139,Samaksh Murty,jradhakrishnan@example.com,5765534749,"Deshpande Path, Kodambakkam, Chennai, Tamil Nadu, India - 379417",22-10-2023,0,South Indian,97,2.82
140,Mahika Raj,elijah39@example.net,7160761894,"Panchal Ganj, Mylapore, Chennai, Tamil Nadu, India - 358656",01-12-2024,0,Chinese,27,3.21
141,Girik Iyer,pratyushmane@example.org,8992726023,"Nagar Zila, Nungambakkam, Chennai, Tamil Nadu, India - 999695",16-07-2023,1,South Indian,6,2.42
142,Gunbir Vaidya,periryan@example.com,2484660136,"Oommen, Velachery, Chennai, Tamil Nadu, India - 672070",29-06-2023,0,Italian,46,3.51
143,Chanchal Patla,lipikachaudhuri@example.org,4609480620,"Ramanathan Chowk, Velachery, Chennai, Tamil Nadu, India - 075771",27-06-2025,0,Continental,30,0.83
144,Mekhala Mohan,faraj94@example.org,04111297853,"Dar Chowk, T. Nagar, Chennai, Tamil Nadu, India - 174275",14-10-2024,1,North Indian,75,2.52
145,Samesh Shanker,choudharyadvay@example.org,03846506042,"Parmar Road, Chrompet, Chennai, Tamil Nadu, India - 921419",22-08-2022,1,South Indian,38,1.2
146,Xiti Lanka,hmodi@example.org,4882517177,"Mann Street, Kodambakkam, Chennai, Tamil Nadu, India - 155171",17-03-2020,0,South Indian,89,2.72
147,Nandini Thaman,mananarya@example.net,05786708718,"Dass Nagar, Tambaram, Chennai, Tamil Nadu, India - 197774",18-11-2021,1,North Indian,82,0.53
148,Pallavi Deep,ode@example.net,6178191579,"Kapur Circle, Anna Nagar, Chennai, Tamil Nadu, India - 028742",11-03-2020,1,Italian,57,0.01
149,Faraj Gole,zansidatta@example.net,04187147922,"Bhandari Road, Velachery, Chennai, Tamil Nadu, India - 127985",17-07-2020,0,North Indian,59,0.82
150,Jack Bhalla,madanrayaan@example.com,9299823538,"Dhar Path, Anna Nagar, Chennai, Tamil Nadu, India - 716707",08-02-2025,0,South Indian,30,2.31
151,Baghyawati Hayre,baljiwan24@example.com,+919995751036,"Bobal, Adyar, Chennai, Tamil Nadu, India - 924715",14-03-2022,0,Continental,80,1.05
152,Priya Chopra,jaimorar@example.net,9669608879,"Kara Circle, Kilpauk, Chennai, Tamil Nadu, India - 315084",24-05-2020,0,North Indian,18,0.69
153,Lavanya Narula,sawhneyfalan@example.net,8649479264,"Naidu Street, Perungudi, Chennai, Tamil Nadu, India - 697344",01-07-2021,0,South Indian,68,2.97
154,Nidra Sane,gabrielmittal@example.com,6099529738,"Bhandari Marg, Kilpauk, Chennai, Tamil Nadu, India - 864187",01-06-2023,0,South Indian,72,2.4
155,Indrajit Setty,isha37@example.org,+911133598197,"Nori Marg, Nungambakkam, Chennai, Tamil Nadu, India - 653420",09-01-2020,1,South Indian,54,3.58
156,Manbir Bail,diptakala@example.org,4272279318,"Mitra Path, T. Nagar, Chennai, Tamil Nadu, India - 151497",30-01-2020,1,Italian,8,1.58
157,Naveen Bobal,veer58@example.net,06110104842,"Viswanathan Ganj, Anna Nagar, Chennai, Tamil Nadu, India - 526734",06-05-2024,1,North Indian,3,2.37
158,Ojasvi Bandi,yutikasandal@example.com,4748561176,"Vyas Road, Velachery, Chennai, Tamil Nadu, India - 744630",01-11-2024,1,Italian,17,4.46
159,Neel Chakrabarti,arinmemon@example.com,3955794342,"Sarma Circle, Perungudi, Chennai, Tamil Nadu, India - 012917",09-04-2024,1,North Indian,66,3.91
160,Watika Narain,upma52@example.net,4732332183,"Babu Ganj, Tambaram, Chennai, Tamil Nadu, India - 171791",22-06-2024,0,Italian,75,3.98
161,Vedika Thakkar,aayushshan@example.net,+917484879907,"Konda Street, Guindy, Chennai, Tamil Nadu, India - 630252",04-02-2020,1,South Indian,28,1.58
162,Januja Palla,balasubramaniannaveen@example.com,06002797708,"Bhandari Nagar, Adyar, Chennai, Tamil Nadu, India - 850281",07-11-2024,0,Italian,53,4.97
163,Chaaya Magar,mitterchandani@example.net,6157010229,"Dada Ganj, Chrompet, Chennai, Tamil Nadu, India - 410924",31-10-2024,1,North Indian,11,1.25
164,Anusha Varughese,jatinsura@example.com,7025096786,"Bora Street, Guindy, Chennai, Tamil Nadu, India - 071373",16-12-2022,0,South Indian,20,4.1
165,Zashil Tara,gandhiakshay@example.com,0194436485,"Choudhry Road, Perungudi, Chennai, Tamil Nadu, India - 699983",13-06-2021,1,Chinese,21,4.64
166,Mohini Venkataraman,warhimittal@example.net,+917295315901,"Thaker Street, Adyar, Chennai, Tamil Nadu, India - 278382",25-12-2022,0,Continental,97,1.74
167,Samarth Sandal,dalbir62@example.net,+912954737450,"Prabhakar Chowk, Guindy, Chennai, Tamil Nadu, India - 645347",06-05-2020,0,Italian,55,0.02
168,Daksha Sood,dugalpooja@example.com,8940793519,"Ben Ganj, Anna Nagar, Chennai, Tamil Nadu, India - 216322",05-09-2021,1,North Indian,74,2.76
169,Thomas Batta,hmahajan@example.net,+910645303429,"Barad Path, Chrompet, Chennai, Tamil Nadu, India - 602997",23-04-2020,1,South Indian,47,3.31
170,Vanya Goda,sachimani@example.org,4751435346,"Datta Circle, Chrompet, Chennai, Tamil Nadu, India - 489256",07-08-2023,0,Continental,22,0.61
171,Aryan Palla,masterowen@example.org,09623105297,"Palla Nagar, Kodambakkam, Chennai, Tamil Nadu, India - 624438",21-06-2024,0,North Indian,94,4.59
